"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 08:54:38 PST 2024","Wed Oct 23 08:54:44 PST 2024","6016","","Account Creation via UI @UICreation @ALLUI","","","","Unsuccessful Account Creation Fails Due to Invalid Data @uiinvalidaccountcreation - Iteration_3",""
"passed","Wed Oct 23 08:54:08 PST 2024","Wed Oct 23 08:54:37 PST 2024","29678","","Contact Creation for the New User via UI @UIContact @ALLUI","","","","Successful Contact Creation for the New User @uinewcontact",""
"passed","Wed Oct 23 08:59:21 PST 2024","Wed Oct 23 08:59:31 PST 2024","10387","","Contact Creation for the New User via API @APIContact @ALLAPI","","","","Successful Contact Creation for the New User @apinewcontact",""
"passed","Wed Oct 23 08:59:33 PST 2024","Wed Oct 23 08:59:43 PST 2024","10402","","Contact Creation for the New User via API @APIContact @ALLAPI","","","","Successful Multiple Creation of Contact for the New User @apiadditionalcontact",""
"passed","Wed Oct 23 08:55:09 PST 2024","Wed Oct 23 08:55:22 PST 2024","13273","","Contact Creation for the New User via UI @UIContact @ALLUI","","","","Unsuccessful Contact Creation for the New User @uiinvalidcontact- Iteration_1",""
"passed","Wed Oct 23 08:54:08 PST 2024","Wed Oct 23 08:54:19 PST 2024","11439","","Account Creation via UI @UICreation @ALLUI","","","","Successful Account Creation @uiaccountcreation",""
"passed","Wed Oct 23 08:59:44 PST 2024","Wed Oct 23 08:59:49 PST 2024","4620","","Contact Creation for the New User via API @APIContact @ALLAPI","","","","Unsuccessful Contact Creation for the New User @apiinvalidcontact",""
"passed","Wed Oct 23 08:54:42 PST 2024","Wed Oct 23 08:55:06 PST 2024","23745","","Contact Deletion via UI @UIDelete @ALLUI","","","","Unsuccessful Contact Deletion @uiinvaliddelete",""
"passed","Wed Oct 23 08:59:40 PST 2024","Wed Oct 23 08:59:45 PST 2024","4556","","Account Creation via API @APICreation @ALLAPI","","","","Unsuccessful Account Creation Fails Due to Invalid Data @apifailedaccountcreation",""
"passed","Wed Oct 23 08:57:49 PST 2024","Wed Oct 23 08:58:08 PST 2024","18437","","Contact Deletion via UI @UIDelete @ALLUI","","","","Successful Contact Deletion @uideletecontact",""
"passed","Wed Oct 23 08:54:31 PST 2024","Wed Oct 23 08:54:37 PST 2024","6866","","Account Creation via UI @UICreation @ALLUI","","","","Unsuccessful Account Creation Fails Due to Invalid Data @uiinvalidaccountcreation - Iteration_2",""
"broken","Wed Oct 23 08:59:21 PST 2024","Wed Oct 23 08:59:47 PST 2024","25443","","Edit Contact via API @APIEdit @ALLAPI","","","","Successful Update of Contact @apieditcontact",""
"passed","Wed Oct 23 08:54:07 PST 2024","Wed Oct 23 08:54:40 PST 2024","32175","","Edit Contact via UI @UIEdit @ALLUI","","","","Successful Update of Contact @uieditcontact",""
"passed","Wed Oct 23 08:59:21 PST 2024","Wed Oct 23 08:59:40 PST 2024","18694","","Delete Contact via API @APIDelete @ALLAPI","","","","Successful Contact Deletion @apideletecontact",""
"passed","Wed Oct 23 08:54:20 PST 2024","Wed Oct 23 08:54:30 PST 2024","9455","","Account Creation via UI @UICreation @ALLUI","","","","Unsuccessful Account Creation Fails Due to Invalid Data @uiinvalidaccountcreation - Iteration_1",""
"passed","Wed Oct 23 08:55:37 PST 2024","Wed Oct 23 08:55:50 PST 2024","12895","","Contact Creation for the New User via UI @UIContact @ALLUI","","","","Unsuccessful Contact Creation for the New User @uiinvalidcontact- Iteration_3",""
"passed","Wed Oct 23 08:59:21 PST 2024","Wed Oct 23 08:59:39 PST 2024","18272","","Account Creation via API @APICreation @ALLAPI","","","","Successful Account Creation @apiaccountcreation",""
"passed","Wed Oct 23 08:59:41 PST 2024","Wed Oct 23 08:59:45 PST 2024","4438","","Delete Contact via API @APIDelete @ALLAPI","","","","Unsuccessful Contact Deletion @apiinvaliddeletecontact",""
"passed","Wed Oct 23 08:55:23 PST 2024","Wed Oct 23 08:55:36 PST 2024","12945","","Contact Creation for the New User via UI @UIContact @ALLUI","","","","Unsuccessful Contact Creation for the New User @uiinvalidcontact- Iteration_2",""
"passed","Wed Oct 23 08:54:41 PST 2024","Wed Oct 23 08:55:01 PST 2024","20815","","Edit Contact via UI @UIEdit @ALLUI","","","","Unsuccessful Update of Contact @uiinvalidupdate- Iteration_1",""
"passed","Wed Oct 23 08:59:40 PST 2024","Wed Oct 23 08:59:45 PST 2024","5377","","Edit Contact via API @APIEdit @ALLAPI","","","","Unsuccessful Update of Contact @apiinvalideditcontact",""
"passed","Wed Oct 23 08:54:38 PST 2024","Wed Oct 23 08:55:08 PST 2024","29467","","Contact Creation for the New User via UI @UIContact @ALLUI","","","","Successful Multiple Creation of Contact for the New User @uimultiplecontact",""
